,구별,CCTV댓수,최근증가율,인구수,내국인,외국인,고령자,외국인 비율,고령자 비율
1,종로구,1980,46.0,153789,144683,9106,27818,5.92,18.09
2,중구,2584,54.0,131787,122499,9288,24392,7.05,18.51
3,용산구,2847,94.0,237285,222953,14332,39070,6.04,16.47
4,성동구,4047,37.0,292672,285990,6682,46380,2.28,15.85
5,광진구,3480,47.0,352627,339996,12631,51723,3.58,14.67
6,동대문구,2759,34.0,352006,337400,14606,62211,4.15,17.67
7,중랑구,4193,74.0,391885,387350,4535,71682,1.16,18.29
8,성북구,4842,26.0,440142,430528,9614,74709,2.18,16.97
9,강북구,3321,100.0,302563,299182,3381,64333,1.12,21.26
10,도봉구,2247,156.0,319373,317366,2007,64160,0.63,20.09
11,노원구,2617,41.0,514946,510956,3990,88345,0.77,17.16
12,은평구,4653,38.0,477173,473307,3866,87241,0.81,18.28
13,서대문구,3445,59.0,315659,304819,10840,54268,3.43,17.19
14,마포구,2628,28.999999999999996,378686,368905,9781,54582,2.58,14.41
15,양천구,3851,36.0,450487,447302,3185,68627,0.71,15.23
16,강서구,3265,71.0,579768,574315,5453,92558,0.94,15.96
17,구로구,4693,51.0,421163,396754,24409,72611,5.8,17.24
18,금천구,2636,61.0,244891,230811,14080,41041,5.75,16.76
19,영등포구,4553,82.0,400908,376837,24071,62516,6.0,15.59
20,동작구,2671,44.0,394364,385483,8881,66613,2.25,16.89
21,관악구,5398,26.0,499449,485699,13750,79871,2.75,15.99
22,서초구,4995,60.0,416167,412279,3888,60678,0.93,14.58
23,강남구,7243,36.0,537800,533042,4758,78226,0.88,14.55
24,송파구,3203,28.999999999999996,663965,658338,5627,97691,0.85,14.71
25,강동구,3190,75.0,466472,462664,3808,74070,0.82,15.88
